2026-04-14 20:57:34,988 - madqn - INFO - train_madqn.py:19 - 
2026-04-14 20:59:14,963 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 39 | TotalReturn=47.16 | AgentReturns=[A1:9.84, A2:10.52, A3:13.60, A4:13.20] | Epsilon=0.100
2026-04-14 20:59:17,404 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 40 | TotalReturn=47.11 | AgentReturns=[A1:12.76, A2:10.38, A3:12.14, A4:11.83] | Epsilon=0.100
2026-04-14 20:59:19,400 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 41 | TotalReturn=46.93 | AgentReturns=[A1:11.54, A2:9.27, A3:13.73, A4:12.40] | Epsilon=0.100
2026-04-14 20:59:21,219 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 42 | TotalReturn=49.75 | AgentReturns=[A1:13.16, A2:9.84, A3:13.72, A4:13.03] | Epsilon=0.100
2026-04-14 20:59:22,951 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 43 | TotalReturn=49.01 | AgentReturns=[A1:11.80, A2:12.11, A3:14.21, A4:10.90] | Epsilon=0.100
2026-04-14 20:59:25,253 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 44 | TotalReturn=47.45 | AgentReturns=[A1:12.65, A2:9.54, A3:13.64, A4:11.63] | Epsilon=0.100
2026-04-14 20:59:27,545 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 45 | TotalReturn=48.36 | AgentReturns=[A1:12.61, A2:10.56, A3:12.49, A4:12.69] | Epsilon=0.100
2026-04-14 20:59:29,657 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 46 | TotalReturn=49.43 | AgentReturns=[A1:13.36, A2:9.41, A3:13.63, A4:13.03] | Epsilon=0.100
2026-04-14 20:59:31,888 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 47 | TotalReturn=46.21 | AgentReturns=[A1:9.77, A2:9.03, A3:14.40, A4:13.01] | Epsilon=0.100
2026-04-14 20:59:33,766 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 48 | TotalReturn=48.81 | AgentReturns=[A1:16.00, A2:7.35, A3:13.37, A4:12.09] | Epsilon=0.100
2026-04-14 20:59:35,570 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 49 | TotalReturn=47.98 | AgentReturns=[A1:12.74, A2:9.76, A3:12.28, A4:13.20] | Epsilon=0.100
2026-04-14 20:59:37,617 - madqn - DEBUG - train_madqn.py:93 - Iter 1 Ep 50 | TotalReturn=42.78 | AgentReturns=[A1:9.22, A2:10.32, A3:12.46, A4:10.78] | Epsilon=0.100
2026-04-14 20:59:37,618 - madqn - INFO - train_madqn.py:38 - ---------- Iteration 2/5 开始 ----------
2026-04-14 20:59:41,820 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 1 | TotalReturn=-21.07 | AgentReturns=[A1:-21.56, A2:-4.91, A3:2.27, A4:3.13] | Epsilon=0.475
2026-04-14 20:59:45,563 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 2 | TotalReturn=-20.08 | AgentReturns=[A1:-31.54, A2:-8.07, A3:9.10, A4:10.43] | Epsilon=0.451
2026-04-14 20:59:49,996 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 3 | TotalReturn=-11.98 | AgentReturns=[A1:-19.53, A2:-1.59, A3:7.13, A4:2.02] | Epsilon=0.429
2026-04-14 20:59:53,624 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 4 | TotalReturn=-4.37 | AgentReturns=[A1:-14.10, A2:1.42, A3:4.46, A4:3.84] | Epsilon=0.407
2026-04-14 20:59:57,463 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 5 | TotalReturn=10.03 | AgentReturns=[A1:-14.22, A2:5.70, A3:8.65, A4:9.89] | Epsilon=0.387
2026-04-14 21:00:01,169 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 6 | TotalReturn=-16.42 | AgentReturns=[A1:-27.35, A2:-4.02, A3:7.80, A4:7.15] | Epsilon=0.368
2026-04-14 21:00:03,948 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 7 | TotalReturn=22.47 | AgentReturns=[A1:-4.32, A2:6.67, A3:10.47, A4:9.66] | Epsilon=0.349
2026-04-14 21:00:06,565 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 8 | TotalReturn=26.05 | AgentReturns=[A1:-5.03, A2:8.79, A3:12.00, A4:10.30] | Epsilon=0.332
2026-04-14 21:00:08,998 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 9 | TotalReturn=20.71 | AgentReturns=[A1:-4.32, A2:4.17, A3:11.36, A4:9.50] | Epsilon=0.315
2026-04-14 21:00:11,442 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 10 | TotalReturn=25.14 | AgentReturns=[A1:-3.90, A2:7.05, A3:9.38, A4:12.60] | Epsilon=0.299
2026-04-14 21:00:14,160 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 11 | TotalReturn=28.78 | AgentReturns=[A1:2.86, A2:6.77, A3:9.91, A4:9.24] | Epsilon=0.284
2026-04-14 21:00:16,741 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 12 | TotalReturn=31.28 | AgentReturns=[A1:5.44, A2:4.99, A3:8.81, A4:12.03] | Epsilon=0.270
2026-04-14 21:00:19,785 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 13 | TotalReturn=22.57 | AgentReturns=[A1:-1.31, A2:3.45, A3:9.83, A4:10.60] | Epsilon=0.257
2026-04-14 21:00:22,568 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 14 | TotalReturn=33.29 | AgentReturns=[A1:0.90, A2:10.46, A3:13.30, A4:8.63] | Epsilon=0.244
2026-04-14 21:00:24,705 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 15 | TotalReturn=36.13 | AgentReturns=[A1:8.60, A2:7.88, A3:13.38, A4:6.28] | Epsilon=0.232
2026-04-14 21:00:26,789 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 16 | TotalReturn=35.48 | AgentReturns=[A1:5.00, A2:7.90, A3:10.18, A4:12.40] | Epsilon=0.220
2026-04-14 21:00:28,803 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 17 | TotalReturn=43.41 | AgentReturns=[A1:11.35, A2:6.58, A3:13.24, A4:12.23] | Epsilon=0.209
2026-04-14 21:00:32,407 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 18 | TotalReturn=37.63 | AgentReturns=[A1:6.97, A2:9.72, A3:8.34, A4:12.60] | Epsilon=0.199
2026-04-14 21:00:35,964 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 19 | TotalReturn=38.20 | AgentReturns=[A1:4.84, A2:7.50, A3:14.23, A4:11.64] | Epsilon=0.189
2026-04-14 21:00:38,921 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 20 | TotalReturn=40.55 | AgentReturns=[A1:4.21, A2:10.71, A3:13.20, A4:12.43] | Epsilon=0.179
2026-04-14 21:00:41,299 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 21 | TotalReturn=34.46 | AgentReturns=[A1:4.07, A2:7.07, A3:11.37, A4:11.94] | Epsilon=0.170
2026-04-14 21:00:43,200 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 22 | TotalReturn=47.73 | AgentReturns=[A1:11.22, A2:9.88, A3:13.60, A4:13.03] | Epsilon=0.162
2026-04-14 21:00:45,010 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 23 | TotalReturn=45.00 | AgentReturns=[A1:9.60, A2:10.18, A3:13.01, A4:12.21] | Epsilon=0.154
2026-04-14 21:00:46,936 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 24 | TotalReturn=48.79 | AgentReturns=[A1:14.14, A2:9.92, A3:11.95, A4:12.78] | Epsilon=0.146
2026-04-14 21:00:48,845 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 25 | TotalReturn=38.51 | AgentReturns=[A1:8.03, A2:7.48, A3:11.16, A4:11.83] | Epsilon=0.139
2026-04-14 21:00:50,453 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 26 | TotalReturn=46.00 | AgentReturns=[A1:12.93, A2:8.93, A3:12.14, A4:12.00] | Epsilon=0.132
2026-04-14 21:00:52,154 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 27 | TotalReturn=51.38 | AgentReturns=[A1:13.40, A2:11.25, A3:14.33, A4:12.40] | Epsilon=0.125
2026-04-14 21:00:54,028 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 28 | TotalReturn=39.78 | AgentReturns=[A1:6.89, A2:10.44, A3:10.99, A4:11.46] | Epsilon=0.119
2026-04-14 21:00:55,834 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 29 | TotalReturn=42.26 | AgentReturns=[A1:7.40, A2:8.53, A3:13.30, A4:13.03] | Epsilon=0.113
2026-04-14 21:00:58,724 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 30 | TotalReturn=50.18 | AgentReturns=[A1:13.77, A2:10.97, A3:13.98, A4:11.46] | Epsilon=0.107
2026-04-14 21:01:00,488 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 31 | TotalReturn=46.53 | AgentReturns=[A1:11.87, A2:8.56, A3:14.00, A4:12.09] | Epsilon=0.102
2026-04-14 21:01:02,810 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 32 | TotalReturn=50.36 | AgentReturns=[A1:14.67, A2:9.51, A3:13.14, A4:13.03] | Epsilon=0.100
2026-04-14 21:01:04,606 - madqn - DEBUG - train_madqn.py:93 - Iter 2 Ep 33 | TotalReturn=45.82 | AgentReturns=[A1:10.15, A2:10.11, A3:13.15, A4:12.40] | Epsilon=0.100
